steering,acceleration,sensor_hit_0,sensor_hit_1,sensor_hit_2,sensor_hit_3,sensor_hit_4,sensor_hit_5,sensor_hit_6,sensor_hit_7,sensor_hit_8,sensor_hit_distance_0,sensor_hit_distance_1,sensor_hit_distance_2,sensor_hit_distance_3,sensor_hit_distance_4,sensor_hit_distance_5,sensor_hit_distance_6,sensor_hit_distance_7,sensor_hit_distance_8,velocity
1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,9.216403961,10,10,9.396037102,10,10,10,10,0.392007589
0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,9.216403961,10,10,9.396037102,10,10,10,10,0.783623219
1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,10,5.461446762,4.798288345,10,5.160872936,4.404683113,6.619662285,6.389916897,1.114610434
-1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,10,5.417594433,4.795133114,10,5.208788872,4.411567688,6.532099724,6.49333477,1.39010191
1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,10,5.419101238,4.795991421,10,5.207242966,4.410716057,6.534375191,6.492281437,1.449215531
-1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,10,5.428787708,4.795749664,10,5.196258545,4.40984869,6.554504395,6.468895912,1.577396393
-1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,10,5.441898823,4.795359612,10,5.181695461,4.408889771,6.580163002,6.437560558,1.577396393
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.036940575,5.505391598,4.79652977,9.864545822,5.116091251,4.403975487,6.704096794,6.29745245,1.960967779
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.075275421,5.515847206,4.794950962,9.775668144,5.106075764,4.405248642,6.725665092,6.274746895,2.188591719
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.068549156,5.513968468,4.793472767,9.794444084,5.107959747,4.406730175,6.722709656,6.277860641,2.188591719
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.06388092,5.512661457,4.792443752,9.807478905,5.109270096,4.407761097,6.72065258,6.280027866,2.188591719
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.072944641,5.515396595,4.792047977,9.787996292,5.106686592,4.408099651,6.7261343,6.274338245,2.345604181
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.111713409,5.526881695,4.792570591,9.701257706,5.095836639,4.40745306,6.74817276,6.251700878,2.345604181
-1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.135554314,5.533915043,4.792910099,9.649290085,5.089293957,4.407091141,6.761683941,6.238050938,2.345604181
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.143735886,5.536705017,4.791844368,9.636146545,5.086836338,4.40816164,6.767451763,6.232378006,2.49139452
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.129624367,5.533109665,4.790095806,9.672450066,5.090296268,4.409907341,6.761032104,6.238922596,2.679118872
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.074836731,5.518090725,4.787240982,9.804966927,5.104475975,4.41280365,6.732633114,6.267830849,2.679118872
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.045916557,5.510149002,4.78575325,9.890376091,5.112078667,4.414364815,6.717624187,6.283355713,2.679118872
1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9.015719414,5.501839638,4.784204483,9.981500626,5.120115757,4.416030407,6.701931477,6.299776554,2.679118872
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.965837479,5.488256454,4.782491684,10,5.133402824,4.418044567,6.675803661,6.327558041,2.865495205
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.884428024,5.466025829,4.779858112,10,5.15571022,4.421453953,6.633041382,6.374334335,2.865495205
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.825008392,5.449733257,4.778007507,10,5.172523022,4.424105644,6.601741314,6.409651756,2.865495205
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.746032715,5.428003311,4.775925159,10,5.195597649,4.427601337,6.559905052,6.458390236,3.053990602
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.642180443,5.399302006,4.773575783,10,5.227299213,4.432440758,6.50462532,6.525642395,3.053990602
1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.567863464,5.378677368,4.77207613,10,5.250983715,4.436187744,6.464931488,6.576050758,3.053990602
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.504752159,5.361169338,4.770979881,10,5.271728039,4.439517021,6.431197166,6.620380402,3.206683874
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.432163239,5.342188358,4.771010399,10,5.295129299,4.442450523,6.393427849,6.675032139,3.206683874
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.388580322,5.330771446,4.771124363,10,5.309607983,4.444327831,6.370708942,6.710965633,3.206683874
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.349046707,5.320401669,4.771292686,10,5.323030472,4.446108341,6.350070477,6.744346142,3.206683874
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.318570137,5.312677383,4.771671295,10,5.333258629,4.447319031,6.334424496,6.770424366,3.392066956
-1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,8.28633976,5.30540514,4.772803783,10,5.34324789,4.447930336,6.318769455,6.797916412,3.392066956
